type,reason,band,percent,year
Academic,For registration as a doctor,5.5,0.057477133,2024-2025
Academic,For registration as a doctor,6,0.085854074,2024-2025
Academic,For registration as a doctor,6.5,0.114571368,2024-2025
Academic,For registration as a doctor,7,0.15796639,2024-2025
Academic,For registration as a doctor,7.5,0.213911934,2024-2025
Academic,For registration as a doctor,8,0.226334822,2024-2025
Academic,For registration as a doctor,8.5,0.092958945,2024-2025
Academic,For registration as a doctor,9,0.002042119,2024-2025
Academic,For registration as a nurse (including CGFNS),<4,0.002172524,2024-2025
Academic,For registration as a nurse (including CGFNS),4,0.003642173,2024-2025
Academic,For registration as a nurse (including CGFNS),4.5,0.008945687,2024-2025
Academic,For registration as a nurse (including CGFNS),5,0.025559105,2024-2025
Academic,For registration as a nurse (including CGFNS),5.5,0.069329073,2024-2025
Academic,For registration as a nurse (including CGFNS),6,0.178913738,2024-2025
Academic,For registration as a nurse (including CGFNS),6.5,0.2685623,2024-2025
Academic,For registration as a nurse (including CGFNS),7,0.250159744,2024-2025
Academic,For registration as a nurse (including CGFNS),7.5,0.13884984,2024-2025
Academic,For registration as a nurse (including CGFNS),8,0.046325879,2024-2025
Academic,For registration as a nurse (including CGFNS),8.5,0.007412141,2024-2025
Academic,For registration as a nurse (including CGFNS),9,1.27796e-4,2024-2025
Academic,(Other),<4,0.009259498,2024-2025
Academic,(Other),4,0.020257566,2024-2025
Academic,(Other),4.5,0.04901481,2024-2025
Academic,(Other),5,0.100566645,2024-2025
Academic,(Other),5.5,0.167237605,2024-2025
Academic,(Other),6,0.19605924,2024-2025
Academic,(Other),6.5,0.169098519,2024-2025
Academic,(Other),7,0.131242756,2024-2025
Academic,(Other),7.5,0.093689633,2024-2025
Academic,(Other),8,0.050779137,2024-2025
Academic,(Other),8.5,0.01242112,2024-2025
Academic,(Other),9,3.73471e-4,2024-2025
General_Training,For employment,<4,0.02793268950508132,2024-2025
General_Training,For employment,4,0.04515865767638885,2024-2025
General_Training,For employment,4.5,0.08582865359578726,2024-2025
General_Training,For employment,5,0.12505100751996578,2024-2025
General_Training,For employment,5.5,0.15070050327419698,2024-2025
General_Training,For employment,6,0.1688883275362882,2024-2025
General_Training,For employment,6.5,0.15206070380661835,2024-2025
General_Training,For employment,7,0.11130326642442144,2024-2025
General_Training,For employment,7.5,0.07419893904358471,2024-2025
General_Training,For employment,8,0.04323494549482152,2024-2025
General_Training,For employment,8.5,0.01475817577677166,2024-2025
General_Training,For employment,9,8.841303460738782e-4,2024-2025
General_Training,For higher education extended course (three months or more),<4,0.03675175154668742,2024-2025
General_Training,For higher education extended course (three months or more),4,0.04937108206662023,2024-2025
General_Training,For higher education extended course (three months or more),4.5,0.09058876551808907,2024-2025
General_Training,For higher education extended course (three months or more),5,0.14233621502028107,2024-2025
General_Training,For higher education extended course (three months or more),5.5,0.16446101528250093,2024-2025
General_Training,For higher education extended course (three months or more),6,0.1627811693366657,2024-2025
General_Training,For higher education extended course (three months or more),6.5,0.1325439423116319,2024-2025
General_Training,For higher education extended course (three months or more),7,0.0982095300528537,2024-2025
General_Training,For higher education extended course (three months or more),7.5,0.07239726308026385,2024-2025
General_Training,For higher education extended course (three months or more),8,0.03908714712992174,2024-2025
General_Training,For higher education extended course (three months or more),8.5,0.01110337198344737,2024-2025
General_Training,For higher education extended course (three months or more),9,3.6874667103699754e-4,2024-2025
General_Training,For higher education short course (three months or less),<4,0.03228962818003914,2024-2025
General_Training,For higher education short course (three months or less),4,0.04305283757338552,2024-2025
General_Training,For higher education short course (three months or less),4.5,0.11790606653620352,2024-2025
General_Training,For higher education short course (three months or less),5,0.13209393346379647,2024-2025
General_Training,For higher education short course (three months or less),5.5,0.17710371819960857,2024-2025
General_Training,For higher education short course (three months or less),6,0.1883561643835616,2024-2025
General_Training,For higher education short course (three months or less),6.5,0.13111545988258316,2024-2025
General_Training,For higher education short course (three months or less),7,0.07876712328767123,2024-2025
General_Training,For higher education short course (three months or less),7.5,0.05821917808219178,2024-2025
General_Training,For higher education short course (three months or less),8,0.0337573385518591,2024-2025
General_Training,For higher education short course (three months or less),8.5,0.00636007827788649,2024-2025
General_Training,For higher education short course (three months or less),9,9.784735812133072e-4,2024-2025
General_Training,For immigration,<4,0.00791153892192578,2024-2025
General_Training,For immigration,4,0.01406144485524119,2024-2025
General_Training,For immigration,4.5,0.0279399509001267,2024-2025
General_Training,For immigration,5,0.04936185974239505,2024-2025
General_Training,For immigration,5.5,0.09145811265868814,2024-2025
General_Training,For immigration,6,0.178146265225139,2024-2025
General_Training,For immigration,6.5,0.2161726942369758,2024-2025
General_Training,For immigration,7,0.17605940768478515,2024-2025
General_Training,For immigration,7.5,0.12582802396724266,2024-2025
General_Training,For immigration,8,0.07884888576713471,2024-2025
General_Training,For immigration,8.5,0.03107475421832053,2024-2025
General_Training,For immigration,9,0.00313706182202538,2024-2025
General_Training,For other education purposes,<4,0.02370668337234989,2024-2025
General_Training,For other education purposes,4,0.02502555310099245,2024-2025
General_Training,For other education purposes,4.5,0.04794091463615681,2024-2025
General_Training,For other education purposes,5,0.0864189389693033,2024-2025
General_Training,For other education purposes,5.5,0.13363447525470673,2024-2025
General_Training,For other education purposes,6,0.20580962115467044,2024-2025
General_Training,For other education purposes,6.5,0.21306340466220453,2024-2025
General_Training,For other education purposes,7,0.140492597843648,2024-2025
General_Training,For other education purposes,7.5,0.07883543802960863,2024-2025
General_Training,For other education purposes,8,0.03702726763163969,2024-2025
General_Training,For other education purposes,8.5,0.0076494444261268,2024-2025
General_Training,For other education purposes,9,3.95660918592766e-4,2024-2025
General_Training,For personal reasons,<4,0.01957506871703439,2024-2025
General_Training,For personal reasons,4,0.02856399970284525,2024-2025
General_Training,For personal reasons,4.5,0.0584280514077706,2024-2025
General_Training,For personal reasons,5,0.098395364386004,2024-2025
General_Training,For personal reasons,5.5,0.13992273976673353,2024-2025
General_Training,For personal reasons,6,0.19066191219077336,2024-2025
General_Training,For personal reasons,6.5,0.17829284599955425,2024-2025
General_Training,For personal reasons,7,0.1334596240992497,2024-2025
General_Training,For personal reasons,7.5,0.09397518757893172,2024-2025
General_Training,For personal reasons,8,0.04501894361488744,2024-2025
General_Training,For personal reasons,8.5,0.01274050962038481,2024-2025
General_Training,For personal reasons,9,9.657529158309188e-4,2024-2025
General_Training,For professional registration (NOT medical),<4,0.01110636480136693,2024-2025
General_Training,For professional registration (NOT medical),4,0.01196070055531824,2024-2025
General_Training,For professional registration (NOT medical),4.5,0.02733874412644169,2024-2025
General_Training,For professional registration (NOT medical),5,0.0598035027765912,2024-2025
General_Training,For professional registration (NOT medical),5.5,0.0914139256727894,2024-2025
General_Training,For professional registration (NOT medical),6,0.1452370781717215,2024-2025
General_Training,For professional registration (NOT medical),6.5,0.20546774882528832,2024-2025
General_Training,For professional registration (NOT medical),7,0.18581802648440837,2024-2025
General_Training,For professional registration (NOT medical),7.5,0.1520717642033319,2024-2025
General_Training,For professional registration (NOT medical),8,0.07988039299444682,2024-2025
General_Training,For professional registration (NOT medical),8.5,0.02947458351131994,2024-2025
General_Training,For professional registration (NOT medical),9,4.2716787697565144e-4,2024-2025
General_Training,For registration as a dentist,<4,0,2024-2025
General_Training,For registration as a dentist,4,0,2024-2025
General_Training,For registration as a dentist,4.5,0.03424657534246575,2024-2025
General_Training,For registration as a dentist,5,0.03424657534246575,2024-2025
General_Training,For registration as a dentist,5.5,0.0821917808219178,2024-2025
General_Training,For registration as a dentist,6,0.11643835616438356,2024-2025
General_Training,For registration as a dentist,6.5,0.2191780821917808,2024-2025
General_Training,For registration as a dentist,7,0.18493150684931503,2024-2025
General_Training,For registration as a dentist,7.5,0.18493150684931503,2024-2025
General_Training,For registration as a dentist,8,0.11643835616438356,2024-2025
General_Training,For registration as a dentist,8.5,0.0273972602739726,2024-2025
General_Training,For registration as a dentist,9,0,2024-2025
General_Training,For registration as a doctor,<4,0.00429184549356223,2024-2025
General_Training,For registration as a doctor,4,0.00980993255671367,2024-2025
General_Training,For registration as a doctor,4.5,0.01778050275904353,2024-2025
General_Training,For registration as a doctor,5,0.03065603923973022,2024-2025
General_Training,For registration as a doctor,5.5,0.05824647455548743,2024-2025
General_Training,For registration as a doctor,6,0.1091354996934396,2024-2025
General_Training,For registration as a doctor,6.5,0.19558553034947884,2024-2025
General_Training,For registration as a doctor,7,0.2078479460453709,2024-2025
General_Training,For registration as a doctor,7.5,0.1747394236664623,2024-2025
General_Training,For registration as a doctor,8,0.13611281422440222,2024-2025
General_Training,For registration as a doctor,8.5,0.05088902513795218,2024-2025
General_Training,For registration as a doctor,9,0.00490496627835683,2024-2025
General_Training,For registration as a nurse (including CGFNS),<4,0.00509832483612527,2024-2025
General_Training,For registration as a nurse (including CGFNS),4,0.01310997815003641,2024-2025
General_Training,For registration as a nurse (including CGFNS),4.5,0.03568827385287691,2024-2025
General_Training,For registration as a nurse (including CGFNS),5,0.0924981791697014,2024-2025
General_Training,For registration as a nurse (including CGFNS),5.5,0.15440640932265112,2024-2025
General_Training,For registration as a nurse (including CGFNS),6,0.1981063364894392,2024-2025
General_Training,For registration as a nurse (including CGFNS),6.5,0.1842680262199563,2024-2025
General_Training,For registration as a nurse (including CGFNS),7,0.16460305899490166,2024-2025
General_Training,For registration as a nurse (including CGFNS),7.5,0.10196649672250546,2024-2025
General_Training,For registration as a nurse (including CGFNS),8,0.04442825928623452,2024-2025
General_Training,For registration as a nurse (including CGFNS),8.5,0.00582665695557174,2024-2025
General_Training,For registration as a nurse (including CGFNS),9,0,2024-2025
General_Training,(Other),<4,0.01755574626978032,2024-2025
General_Training,(Other),4,0.02573136395802279,2024-2025
General_Training,(Other),4.5,0.05119171296505413,2024-2025
General_Training,(Other),5,0.0755830585542858,2024-2025
General_Training,(Other),5.5,0.11658159808482768,2024-2025
General_Training,(Other),6,0.19600403511149253,2024-2025
General_Training,(Other),6.5,0.2032009876989325,2024-2025
General_Training,(Other),7,0.14807955794450214,2024-2025
General_Training,(Other),7.5,0.09590917987864551,2024-2025
General_Training,(Other),8,0.05120676935122031,2024-2025
General_Training,(Other),8.5,0.01758585904211271,2024-2025
General_Training,(Other),9,0.0013701311411235,2024-2025
Academic,For employment,<4,0.00658915654021534,2023-2024
Academic,For employment,4,0.01217561534605008,2023-2024
