type,reason,band,percent,year
General_Training,For personal reasons,5.5,0.1551758526693704,2023-2024
General_Training,For personal reasons,6,0.17083305631274515,2023-2024
General_Training,For personal reasons,6.5,0.15338075925802805,2023-2024
General_Training,For personal reasons,7,0.12123529020676815,2023-2024
General_Training,For personal reasons,7.5,0.08985439797885779,2023-2024
General_Training,For personal reasons,8,0.04996343328236154,2023-2024
General_Training,For personal reasons,8.5,0.01213350176185094,2023-2024
General_Training,For personal reasons,9,5.318795292866166e-4,2023-2024
General_Training,For professional registration (NOT medical),<4,0.01157981803143093,2023-2024
General_Training,For professional registration (NOT medical),4,0.01612903225806451,2023-2024
General_Training,For professional registration (NOT medical),4.5,0.02812241521918941,2023-2024
General_Training,For professional registration (NOT medical),5,0.07568238213399504,2023-2024
General_Training,For professional registration (NOT medical),5.5,0.130686517783292,2023-2024
General_Training,For professional registration (NOT medical),6,0.1546732837055418,2023-2024
General_Training,For professional registration (NOT medical),6.5,0.18320926385442515,2023-2024
General_Training,For professional registration (NOT medical),7,0.17411083540115802,2023-2024
General_Training,For professional registration (NOT medical),7.5,0.130686517783292,2023-2024
General_Training,For professional registration (NOT medical),8,0.0707196029776675,2023-2024
General_Training,For professional registration (NOT medical),8.5,0.02357320099255583,2023-2024
General_Training,For professional registration (NOT medical),9,8.271298593879239e-4,2023-2024
General_Training,For registration as a dentist,<4,0.0184331797235023,2023-2024
General_Training,For registration as a dentist,4,0,2023-2024
General_Training,For registration as a dentist,4.5,0.01382488479262672,2023-2024
General_Training,For registration as a dentist,5,0.05529953917050691,2023-2024
General_Training,For registration as a dentist,5.5,0.0967741935483871,2023-2024
General_Training,For registration as a dentist,6,0.1152073732718894,2023-2024
General_Training,For registration as a dentist,6.5,0.10599078341013826,2023-2024
General_Training,For registration as a dentist,7,0.1935483870967742,2023-2024
General_Training,For registration as a dentist,7.5,0.2488479262672811,2023-2024
General_Training,For registration as a dentist,8,0.11059907834101385,2023-2024
General_Training,For registration as a dentist,8.5,0.04147465437788018,2023-2024
General_Training,For registration as a dentist,9,0,2023-2024
General_Training,For registration as a doctor,<4,0.00870010235414534,2023-2024
General_Training,For registration as a doctor,4,0.0127942681678608,2023-2024
General_Training,For registration as a doctor,4.5,0.02098259979529171,2023-2024
General_Training,For registration as a doctor,5,0.03582395087001024,2023-2024
General_Training,For registration as a doctor,5.5,0.05629477993858751,2023-2024
General_Training,For registration as a doctor,6,0.09774820880245652,2023-2024
General_Training,For registration as a doctor,6.5,0.14687819856704196,2023-2024
General_Training,For registration as a doctor,7,0.17349027635619244,2023-2024
General_Training,For registration as a doctor,7.5,0.16530194472876153,2023-2024
General_Training,For registration as a doctor,8,0.18423746161719548,2023-2024
General_Training,For registration as a doctor,8.5,0.09314227226202662,2023-2024
General_Training,For registration as a doctor,9,0.00460593654042988,2023-2024
General_Training,For registration as a nurse (including CGFNS),<4,0.00950570342205323,2023-2024
General_Training,For registration as a nurse (including CGFNS),4,0.022338403041825092,2023-2024
General_Training,For registration as a nurse (including CGFNS),4.5,0.06083650190114068,2023-2024
General_Training,For registration as a nurse (including CGFNS),5,0.10979087452471482,2023-2024
General_Training,For registration as a nurse (including CGFNS),5.5,0.15969581749049427,2023-2024
General_Training,For registration as a nurse (including CGFNS),6,0.21292775665399236,2023-2024
General_Training,For registration as a nurse (including CGFNS),6.5,0.186787072243346,2023-2024
General_Training,For registration as a nurse (including CGFNS),7,0.12547528517110265,2023-2024
General_Training,For registration as a nurse (including CGFNS),7.5,0.07889733840304182,2023-2024
General_Training,For registration as a nurse (including CGFNS),8,0.02756653992395437,2023-2024
General_Training,For registration as a nurse (including CGFNS),8.5,0.00570342205323193,2023-2024
General_Training,For registration as a nurse (including CGFNS),9,4.7528517110266154e-4,2023-2024
General_Training,(Other),<4,0.01809821230973516,2023-2024
General_Training,(Other),4,0.03073745297169695,2023-2024
General_Training,(Other),4.5,0.06523717018712961,2023-2024
General_Training,(Other),5,0.10770403521282612,2023-2024
General_Training,(Other),5.5,0.14107261415890032,2023-2024
General_Training,(Other),6,0.17102318833452185,2023-2024
General_Training,(Other),6.5,0.15322005557331497,2023-2024
General_Training,(Other),7,0.12540880812452357,2023-2024
General_Training,(Other),7.5,0.09813853984803404,2023-2024
General_Training,(Other),8,0.06250768436324292,2023-2024
General_Training,(Other),8.5,0.02444242260309341,2023-2024
General_Training,(Other),9,0.00240981631298104,2023-2024
Academic,For employment,<4,0.01,2022-2023
Academic,For employment,4,0.01,2022-2023
Academic,For employment,4.5,0.03,2022-2023
Academic,For employment,5,0.06,2022-2023
Academic,For employment,5.5,0.12,2022-2023
Academic,For employment,6,0.18,2022-2023
Academic,For employment,6.5,0.22,2022-2023
Academic,For employment,7,0.2,2022-2023
Academic,For employment,7.5,0.12,2022-2023
Academic,For employment,8,0.05,2022-2023
Academic,For employment,8.5,0.01,2022-2023
Academic,For employment,9,0,2022-2023
Academic,For higher education extended course (three months or more),<4,0,2022-2023
Academic,For higher education extended course (three months or more),4,0.01,2022-2023
Academic,For higher education extended course (three months or more),4.5,0.02,2022-2023
Academic,For higher education extended course (three months or more),5,0.07,2022-2023
Academic,For higher education extended course (three months or more),5.5,0.17,2022-2023
Academic,For higher education extended course (three months or more),6,0.25,2022-2023
Academic,For higher education extended course (three months or more),6.5,0.2,2022-2023
Academic,For higher education extended course (three months or more),7,0.13,2022-2023
Academic,For higher education extended course (three months or more),7.5,0.09,2022-2023
Academic,For higher education extended course (three months or more),8,0.04,2022-2023
Academic,For higher education extended course (three months or more),8.5,0.01,2022-2023
Academic,For higher education extended course (three months or more),9,0,2022-2023
Academic,For higher education short course (three months or less),<4,0.01,2022-2023
Academic,For higher education short course (three months or less),4,0.01,2022-2023
Academic,For higher education short course (three months or less),4.5,0.04,2022-2023
Academic,For higher education short course (three months or less),5,0.1,2022-2023
Academic,For higher education short course (three months or less),5.5,0.21,2022-2023
Academic,For higher education short course (three months or less),6,0.27,2022-2023
Academic,For higher education short course (three months or less),6.5,0.17,2022-2023
Academic,For higher education short course (three months or less),7,0.09,2022-2023
Academic,For higher education short course (three months or less),7.5,0.05,2022-2023
Academic,For higher education short course (three months or less),8,0.02,2022-2023
Academic,For higher education short course (three months or less),8.5,0,2022-2023
Academic,For higher education short course (three months or less),9,0,2022-2023
Academic,For immigration,<4,0.01,2022-2023
Academic,For immigration,4,0.01,2022-2023
Academic,For immigration,4.5,0.02,2022-2023
Academic,For immigration,5,0.06,2022-2023
Academic,For immigration,5.5,0.15,2022-2023
Academic,For immigration,6,0.23,2022-2023
Academic,For immigration,6.5,0.21,2022-2023
Academic,For immigration,7,0.15,2022-2023
Academic,For immigration,7.5,0.1,2022-2023
Academic,For immigration,8,0.06,2022-2023
Academic,For immigration,8.5,0.02,2022-2023
Academic,For immigration,9,0,2022-2023
Academic,For other education purposes,<4,0.01,2022-2023
Academic,For other education purposes,4,0.01,2022-2023
Academic,For other education purposes,4.5,0.03,2022-2023
Academic,For other education purposes,5,0.08,2022-2023
Academic,For other education purposes,5.5,0.17,2022-2023
Academic,For other education purposes,6,0.23,2022-2023
Academic,For other education purposes,6.5,0.19,2022-2023
Academic,For other education purposes,7,0.13,2022-2023
Academic,For other education purposes,7.5,0.09,2022-2023
Academic,For other education purposes,8,0.04,2022-2023
Academic,For other education purposes,8.5,0.01,2022-2023
Academic,For other education purposes,9,0,2022-2023
Academic,For personal reasons,<4,0.01,2022-2023
Academic,For personal reasons,4,0.01,2022-2023
Academic,For personal reasons,4.5,0.04,2022-2023
Academic,For personal reasons,5,0.1,2022-2023
Academic,For personal reasons,5.5,0.18,2022-2023
Academic,For personal reasons,6,0.23,2022-2023
Academic,For personal reasons,6.5,0.19,2022-2023
Academic,For personal reasons,7,0.13,2022-2023
Academic,For personal reasons,7.5,0.08,2022-2023
Academic,For personal reasons,8,0.03,2022-2023
Academic,For personal reasons,8.5,0.01,2022-2023
Academic,For personal reasons,9,0,2022-2023
Academic,For professional registration (NOT medical),<4,0,2022-2023
Academic,For professional registration (NOT medical),4,0,2022-2023
Academic,For professional registration (NOT medical),4.5,0.01,2022-2023
Academic,For professional registration (NOT medical),5,0.02,2022-2023
Academic,For professional registration (NOT medical),5.5,0.06,2022-2023
Academic,For professional registration (NOT medical),6,0.11,2022-2023
Academic,For professional registration (NOT medical),6.5,0.19,2022-2023
Academic,For professional registration (NOT medical),7,0.23,2022-2023
Academic,For professional registration (NOT medical),7.5,0.21,2022-2023
Academic,For professional registration (NOT medical),8,0.13,2022-2023
Academic,For professional registration (NOT medical),8.5,0.03,2022-2023
Academic,For professional registration (NOT medical),9,0,2022-2023
Academic,For registration as a dentist,<4,0,2022-2023
Academic,For registration as a dentist,4,0.01,2022-2023
Academic,For registration as a dentist,4.5,0.01,2022-2023
Academic,For registration as a dentist,5,0.05,2022-2023
Academic,For registration as a dentist,5.5,0.07,2022-2023
Academic,For registration as a dentist,6,0.14,2022-2023
Academic,For registration as a dentist,6.5,0.2,2022-2023
Academic,For registration as a dentist,7,0.23,2022-2023
Academic,For registration as a dentist,7.5,0.17,2022-2023
Academic,For registration as a dentist,8,0.09,2022-2023
Academic,For registration as a dentist,8.5,0.02,2022-2023
Academic,For registration as a dentist,9,0,2022-2023
Academic,For registration as a doctor,<4,0,2022-2023
Academic,For registration as a doctor,4,0,2022-2023
Academic,For registration as a doctor,4.5,0.01,2022-2023
Academic,For registration as a doctor,5,0.02,2022-2023
Academic,For registration as a doctor,5.5,0.04,2022-2023
Academic,For registration as a doctor,6,0.07,2022-2023
Academic,For registration as a doctor,6.5,0.11,2022-2023
Academic,For registration as a doctor,7,0.19,2022-2023
Academic,For registration as a doctor,7.5,0.25,2022-2023
Academic,For registration as a doctor,8,0.23,2022-2023
Academic,For registration as a doctor,8.5,0.07,2022-2023
Academic,For registration as a doctor,9,0,2022-2023
Academic,For registration as a nurse (including CGFNS),<4,0,2022-2023
Academic,For registration as a nurse (including CGFNS),4,0,2022-2023
Academic,For registration as a nurse (including CGFNS),4.5,0.01,2022-2023
Academic,For registration as a nurse (including CGFNS),5,0.02,2022-2023
Academic,For registration as a nurse (including CGFNS),5.5,0.06,2022-2023
Academic,For registration as a nurse (including CGFNS),6,0.17,2022-2023
Academic,For registration as a nurse (including CGFNS),6.5,0.29,2022-2023
Academic,For registration as a nurse (including CGFNS),7,0.28,2022-2023
Academic,For registration as a nurse (including CGFNS),7.5,0.14,2022-2023
Academic,For registration as a nurse (including CGFNS),8,0.04,2022-2023
Academic,For registration as a nurse (including CGFNS),8.5,0,2022-2023
Academic,For registration as a nurse (including CGFNS),9,0,2022-2023
Academic,(Other),<4,0.01,2022-2023
Academic,(Other),4,0.02,2022-2023
Academic,(Other),4.5,0.05,2022-2023
Academic,(Other),5,0.1,2022-2023
Academic,(Other),5.5,0.17,2022-2023
Academic,(Other),6,0.2,2022-2023
Academic,(Other),6.5,0.18,2022-2023
Academic,(Other),7,0.13,2022-2023
Academic,(Other),7.5,0.09,2022-2023
Academic,(Other),8,0.04,2022-2023
Academic,(Other),8.5,0.01,2022-2023
Academic,(Other),9,0,2022-2023
General_Training,For employment,<4,0.02,2022-2023
General_Training,For employment,4,0.04,2022-2023
General_Training,For employment,4.5,0.08,2022-2023
General_Training,For employment,5,0.14,2022-2023
General_Training,For employment,5.5,0.19,2022-2023
General_Training,For employment,6,0.19,2022-2023
General_Training,For employment,6.5,0.15,2022-2023
General_Training,For employment,7,0.1,2022-2023
General_Training,For employment,7.5,0.06,2022-2023
General_Training,For employment,8,0.03,2022-2023
General_Training,For employment,8.5,0.01,2022-2023
General_Training,For employment,9,0,2022-2023
General_Training,For higher education extended course (three months or more),<4,0.03,2022-2023
General_Training,For higher education extended course (three months or more),4,0.04,2022-2023
General_Training,For higher education extended course (three months or more),4.5,0.08,2022-2023
General_Training,For higher education extended course (three months or more),5,0.14,2022-2023
General_Training,For higher education extended course (three months or more),5.5,0.17,2022-2023
General_Training,For higher education extended course (three months or more),6,0.17,2022-2023
General_Training,For higher education extended course (three months or more),6.5,0.14,2022-2023
General_Training,For higher education extended course (three months or more),7,0.1,2022-2023
General_Training,For higher education extended course (three months or more),7.5,0.08,2022-2023
General_Training,For higher education extended course (three months or more),8,0.04,2022-2023
General_Training,For higher education extended course (three months or more),8.5,0.01,2022-2023
General_Training,For higher education extended course (three months or more),9,0,2022-2023
General_Training,For higher education short course (three months or less),<4,0.05,2022-2023
General_Training,For higher education short course (three months or less),4,0.04,2022-2023
General_Training,For higher education short course (three months or less),4.5,0.09,2022-2023
General_Training,For higher education short course (three months or less),5,0.18,2022-2023
General_Training,For higher education short course (three months or less),5.5,0.19,2022-2023
General_Training,For higher education short course (three months or less),6,0.18,2022-2023
General_Training,For higher education short course (three months or less),6.5,0.11,2022-2023
General_Training,For higher education short course (three months or less),7,0.09,2022-2023
General_Training,For higher education short course (three months or less),7.5,0.04,2022-2023
General_Training,For higher education short course (three months or less),8,0.02,2022-2023
General_Training,For higher education short course (three months or less),8.5,0.01,2022-2023
General_Training,For higher education short course (three months or less),9,0,2022-2023
General_Training,For immigration,<4,0.01,2022-2023
General_Training,For immigration,4,0.01,2022-2023
General_Training,For immigration,4.5,0.03,2022-2023
General_Training,For immigration,5,0.06,2022-2023
General_Training,For immigration,5.5,0.11,2022-2023
General_Training,For immigration,6,0.17,2022-2023
General_Training,For immigration,6.5,0.19,2022-2023
General_Training,For immigration,7,0.17,2022-2023
General_Training,For immigration,7.5,0.13,2022-2023
General_Training,For immigration,8,0.09,2022-2023
General_Training,For immigration,8.5,0.03,2022-2023
General_Training,For immigration,9,0,2022-2023
General_Training,For other education purposes,<4,0.03,2022-2023
General_Training,For other education purposes,4,0.03,2022-2023
General_Training,For other education purposes,4.5,0.06,2022-2023
General_Training,For other education purposes,5,0.11,2022-2023
General_Training,For other education purposes,5.5,0.17,2022-2023
General_Training,For other education purposes,6,0.19,2022-2023
General_Training,For other education purposes,6.5,0.16,2022-2023
General_Training,For other education purposes,7,0.12,2022-2023
General_Training,For other education purposes,7.5,0.07,2022-2023
General_Training,For other education purposes,8,0.04,2022-2023
General_Training,For other education purposes,8.5,0.01,2022-2023
General_Training,For other education purposes,9,0,2022-2023
General_Training,For personal reasons,<4,0.01,2022-2023
General_Training,For personal reasons,4,0.02,2022-2023
General_Training,For personal reasons,4.5,0.05,2022-2023
General_Training,For personal reasons,5,0.1,2022-2023
General_Training,For personal reasons,5.5,0.14,2022-2023
General_Training,For personal reasons,6,0.18,2022-2023
General_Training,For personal reasons,6.5,0.17,2022-2023
General_Training,For personal reasons,7,0.15,2022-2023
General_Training,For personal reasons,7.5,0.11,2022-2023
General_Training,For personal reasons,8,0.06,2022-2023
General_Training,For personal reasons,8.5,0.01,2022-2023
General_Training,For personal reasons,9,0,2022-2023
General_Training,For professional registration (NOT medical),<4,0.01,2022-2023
General_Training,For professional registration (NOT medical),4,0.02,2022-2023
General_Training,For professional registration (NOT medical),4.5,0.04,2022-2023
General_Training,For professional registration (NOT medical),5,0.08,2022-2023
General_Training,For professional registration (NOT medical),5.5,0.12,2022-2023
General_Training,For professional registration (NOT medical),6,0.18,2022-2023
General_Training,For professional registration (NOT medical),6.5,0.18,2022-2023
General_Training,For professional registration (NOT medical),7,0.16,2022-2023
General_Training,For professional registration (NOT medical),7.5,0.13,2022-2023
General_Training,For professional registration (NOT medical),8,0.08,2022-2023
General_Training,For professional registration (NOT medical),8.5,0.02,2022-2023
General_Training,For professional registration (NOT medical),9,0,2022-2023
General_Training,For registration as a dentist,<4,0.02,2022-2023
General_Training,For registration as a dentist,4,0.01,2022-2023
General_Training,For registration as a dentist,4.5,0.01,2022-2023
General_Training,For registration as a dentist,5,0.05,2022-2023
General_Training,For registration as a dentist,5.5,0.11,2022-2023
General_Training,For registration as a dentist,6,0.15,2022-2023
General_Training,For registration as a dentist,6.5,0.18,2022-2023
General_Training,For registration as a dentist,7,0.24,2022-2023
General_Training,For registration as a dentist,7.5,0.15,2022-2023
General_Training,For registration as a dentist,8,0.05,2022-2023
General_Training,For registration as a dentist,8.5,0.03,2022-2023
General_Training,For registration as a dentist,9,0,2022-2023
General_Training,For registration as a doctor,<4,0.01,2022-2023
General_Training,For registration as a doctor,4,0.01,2022-2023
General_Training,For registration as a doctor,4.5,0.02,2022-2023
General_Training,For registration as a doctor,5,0.04,2022-2023
General_Training,For registration as a doctor,5.5,0.06,2022-2023
General_Training,For registration as a doctor,6,0.09,2022-2023
General_Training,For registration as a doctor,6.5,0.12,2022-2023
General_Training,For registration as a doctor,7,0.15,2022-2023
General_Training,For registration as a doctor,7.5,0.19,2022-2023
General_Training,For registration as a doctor,8,0.18,2022-2023
General_Training,For registration as a doctor,8.5,0.11,2022-2023
General_Training,For registration as a doctor,9,0,2022-2023
General_Training,For registration as a nurse (including CGFNS),<4,0.01,2022-2023
General_Training,For registration as a nurse (including CGFNS),4,0.02,2022-2023
General_Training,For registration as a nurse (including CGFNS),4.5,0.06,2022-2023
General_Training,For registration as a nurse (including CGFNS),5,0.12,2022-2023
General_Training,For registration as a nurse (including CGFNS),5.5,0.21,2022-2023
General_Training,For registration as a nurse (including CGFNS),6,0.23,2022-2023
General_Training,For registration as a nurse (including CGFNS),6.5,0.17,2022-2023
General_Training,For registration as a nurse (including CGFNS),7,0.1,2022-2023
General_Training,For registration as a nurse (including CGFNS),7.5,0.05,2022-2023
General_Training,For registration as a nurse (including CGFNS),8,0.02,2022-2023
General_Training,For registration as a nurse (including CGFNS),8.5,0,2022-2023
General_Training,For registration as a nurse (including CGFNS),9,0,2022-2023
General_Training,(Other),<4,0.02,2022-2023
General_Training,(Other),4,0.03,2022-2023
General_Training,(Other),4.5,0.06,2022-2023
General_Training,(Other),5,0.11,2022-2023
General_Training,(Other),5.5,0.16,2022-2023
General_Training,(Other),6,0.18,2022-2023
General_Training,(Other),6.5,0.16,2022-2023
General_Training,(Other),7,0.13,2022-2023
General_Training,(Other),7.5,0.09,2022-2023
General_Training,(Other),8,0.05,2022-2023
General_Training,(Other),8.5,0.01,2022-2023
General_Training,(Other),9,0,2022-2023
