galaxy_name,h_gamma,h_beta,oiii_5007,oi_6300,nii_6583,sii_6716,sii_6731,h_gamma_outlier_flag,h_beta_outlier_flag,oiii_5007_outlier_flag,oi_6300_outlier_flag,nii_6583_outlier_flag,sii_6716_outlier_flag,sii_6731_outlier_flag
NGC 4041,0.04,0.16,0.06,0.041,0.64,0.16,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4051,NA,0.3,1.36,0.14,0.64,0.17,0.18,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4062,NA,0.19,0.08,0.036,0.45,0.22,0.13,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4064,0.08,0.22,0.02,0.005,0.27,0.13,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4088,0.04,0.14,0.03,0.011,0.32,0.1,0.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4096,0.09,0.24,0.01,0.01,0.28,0.13,0.08,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4100,0.06,0.19,0.04,0.012,0.35,0.11,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4102,0.04,0.12,0.12,0.041,0.92,0.15,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4111,0.14,0.21,0.18,0.19,1.31,0.57,0.46,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4123,0.06,0.18,0.06,0.018,0.53,0.13,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4124,NA,0.21,0.06,0.026,0.33,0.11,0.06,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4125,NA,0.4,0.57,0.14,2.07,0.88,0.63,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4136,0.1,0.29,0.19,0.017,0.33,0.2,0.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4138,0.09,0.27,1.62,0.33,1.47,0.73,0.59,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 4143,0.27,0.62,1.32,0.71,1.75,0.77,0.63,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 4144,NA,0.17,0.33,0.029,0.14,0.19,0.13,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4145,NA,0.34,0.37,0.13,0.61,0.5,0.29,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4150,0.18,0.4,0.35,0.13,0.98,0.65,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4151,0.17,0.29,3.4,0.22,0.68,0.24,0.3,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 4152,0.07,0.22,0.05,0.009,0.49,0.11,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4157,0.04,0.09,0.02,0.017,0.34,0.14,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4162,0.09,0.23,0.16,0.026,0.48,0.18,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4168,NA,0.54,2.04,0.27,2.85,1.63,1.3,NA,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
NGC 4169,NA,0.04,0.8,0.35,2.75,1.16,0.89,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4178,0.12,0.32,0.11,0.022,0.32,0.29,0.21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4183,0.09,0.21,0.19,0.027,0.24,0.21,0.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4192,NA,0.07,0.14,0.14,1.41,0.56,0.46,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4203,0.29,0.97,1.51,1.22,1.84,0.74,0.68,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
NGC 4212,0.07,0.21,0.03,0.017,0.41,0.16,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4214,0.15,0.36,1.32,0.007,0.07,0.07,0.05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4216,NA,0.23,0.47,0.12,2.04,0.37,0.35,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4217,0.09,0.18,0.1,0.049,0.46,0.24,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4220,NA,0.11,0.29,0.12,1.05,0.34,0.27,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4235,NA,0.13,1.64,0.85,2.57,0.97,0.97,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NGC 4236,0.12,0.34,0.7,0.026,0.17,0.25,0.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4242,NA,0.45,0.45,0.27,0.27,0.55,0.36,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4244,NA,0.29,0.25,0.026,0.22,0.28,0.2,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4245,0.23,0.48,0.41,0.038,0.7,0.18,0.17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4254,0.04,0.16,0.15,0.022,0.48,0.13,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 4258,NA,0.25,2.62,0.38,0.8,0.47,0.46,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 4261,0.15,0.2,0.5,0.49,2.6,0.72,0.57,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
