galaxy_name,h_gamma,h_beta,oiii_5007,oi_6300,nii_6583,sii_6716,sii_6731,h_gamma_outlier_flag,h_beta_outlier_flag,oiii_5007_outlier_flag,oi_6300_outlier_flag,nii_6583_outlier_flag,sii_6716_outlier_flag,sii_6731_outlier_flag
NGC 5322,NA,0.25,0.28,0.95,2.61,1.45,1.45,NA,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
NGC 5353,NA,0.34,0.41,0.19,1.71,0.44,0.4,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5354,0.28,0.36,0.8,0.14,1.34,0.81,0.48,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5363,0.05,0.12,0.29,0.22,1.3,0.63,0.48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5364,0.18,0.38,0.11,0.056,0.49,0.13,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5371,NA,0.3,0.62,0.28,2.36,0.87,0.61,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5377,NA,0.22,0.43,0.25,2.15,0.94,0.73,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5383,0.09,0.18,0.03,0.034,0.36,0.13,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5395,NA,0.2,0.61,0.17,1.23,0.41,0.36,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5448,0.04,0.13,0.12,0.2,1.03,0.65,0.51,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5457,0.07,0.25,0.06,0.017,0.38,0.14,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5474,0.15,0.37,0.65,0.024,0.14,0.16,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5485,NA,0.36,0.91,0.21,1.83,0.53,0.29,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5523,0.07,0.24,0.05,0.022,0.33,0.24,0.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5548,0.41,0.78,7.87,0.36,0.88,0.32,0.34,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
NGC 5566,NA,0.27,0.51,0.2,1.75,0.67,0.69,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5585,0.12,0.32,0.55,0.017,0.15,0.19,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5631,NA,0.23,0.78,0.44,2.61,1.38,1.25,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
NGC 5656,NA,0.42,0.54,0.14,0.94,0.46,0.22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5660,0.12,0.26,0.04,0.022,0.41,0.16,0.13,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5669,0.08,0.22,0.08,0.015,0.28,0.2,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5676,0.19,0.31,0.08,0.031,0.45,0.15,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5678,0.08,0.19,0.12,0.079,0.64,0.26,0.18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5690,0.04,0.09,0.02,0.022,0.32,0.23,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5701,0.36,0.46,0.72,0.14,0.76,0.4,0.35,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5746,NA,0.14,0.32,0.1,2.08,0.45,0.42,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5775,0.12,0.2,0.06,0.044,0.41,0.21,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5806,NA,0.22,0.14,0.066,0.58,0.2,0.15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5813,NA,0.38,0.51,0.19,2.16,0.69,0.85,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5838,NA,0.11,0.13,0.053,1.16,0.28,0.28,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5846,NA,0.26,0.32,0.091,1.57,0.54,0.43,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5850,NA,0.23,0.56,0.22,1.69,0.84,0.58,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5866,NA,0.15,0.31,0.13,1.34,0.42,0.32,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5879,NA,0.19,0.37,0.16,0.94,0.56,0.41,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5905,0.08,0.23,0.06,0.015,0.4,0.13,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5907,NA,0.08,0.09,0.031,0.6,0.18,0.15,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5921,0.08,0.22,0.22,0.11,0.9,0.34,0.27,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5962,NA,0.22,0.12,0.027,0.51,0.13,0.11,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5970,NA,0.41,0.58,0.18,1.45,0.58,0.52,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 5982,NA,1.14,1.24,0.49,2.42,0.44,0.27,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NGC 5985,0.1,0.25,0.66,0.3,3.08,0.84,0.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6015,NA,0.19,0.08,0.031,0.47,0.21,0.16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6070,NA,0.17,0.04,0.034,0.44,0.12,0.11,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6140,NA,0.2,0.13,0.032,0.29,0.24,0.17,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6181,0.07,0.21,0.04,0.029,0.48,0.15,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6207,0.13,0.31,0.19,0.016,0.28,0.17,0.12,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6217,0.08,0.26,0.07,0.032,0.64,0.14,0.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6236,0.18,0.24,0.34,0.041,0.17,0.18,0.11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6340,NA,0.43,0.66,0.43,1.08,0.72,0.49,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6384,NA,0.32,0.49,0.15,1.73,0.69,0.39,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6412,0.1,0.28,0.03,0.012,0.28,0.14,0.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6482,NA,NA,NA,0.13,2.33,0.95,0.98,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
NGC 6500,0.1,0.27,0.38,0.23,0.73,0.51,0.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6501,NA,NA,NA,0.87,2.98,4.09,4.09,NA,NA,NA,TRUE,FALSE,TRUE,TRUE
NGC 6503,NA,NA,NA,0.08,0.65,0.43,0.31,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
NGC 6643,NA,0.17,0.03,0.007,0.32,0.14,0.1,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6689,NA,0.23,0.43,0.067,0.4,0.37,0.25,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6702,NA,NA,NA,0.62,2.41,2.57,2.57,NA,NA,NA,TRUE,FALSE,TRUE,TRUE
NGC 6703,NA,0.63,0.89,0.36,3,0.78,0.7,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6946,0.01,0.07,0.03,0.038,0.64,0.16,0.16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 6951,0.02,0.06,0.42,0.23,2.48,0.45,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7080,NA,NA,NA,0.042,0.6,0.13,0.12,NA,NA,NA,FALSE,FALSE,FALSE,FALSE
NGC 7177,0.07,0.2,0.2,0.14,0.68,0.64,0.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7217,NA,0.13,0.28,0.25,3.13,0.79,0.7,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NGC 7331,NA,0.23,0.65,0.097,1.44,0.32,0.22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7448,NA,0.19,0.07,0.051,0.43,0.24,0.16,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7479,NA,0.1,0.4,0.15,1.16,0.41,0.3,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7626,NA,0.31,0.51,0.22,2.35,0.72,0.56,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7640,NA,0.36,0.28,0.072,0.26,0.33,0.22,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7741,0.07,0.24,0.18,0.013,0.25,0.19,0.14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7742,0.17,0.39,0.99,0.13,1,0.43,0.34,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7743,NA,0.16,0.93,0.24,1.65,0.47,0.43,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7798,0.06,0.19,0.05,0.034,0.64,0.18,0.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NGC 7814,NA,0.64,0.64,0.6,0.76,0.92,1.04,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
NGC 7817,NA,0.18,0.29,0.014,0.39,0.13,0.09,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UGC 3714,0.08,0.21,0.07,0.041,0.46,0.19,0.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UGC 3828,0.06,0.2,0.06,0.021,0.39,0.11,0.09,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UGC 4028,0.08,0.24,0.13,0.036,0.47,0.21,0.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
UGC 6484,NA,0.34,0.14,0.042,0.53,0.2,0.14,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
