writer,song_count,song_count_outlier_flag
Paul DiGiovanni,2,FALSE
Thomas Archer,2,FALSE
Julian Bunetta,2,FALSE
Monty Criswell,2,FALSE
Ray Fulcher,2,FALSE
Jacob Durrett,2,FALSE
Jesse Lee,2,FALSE
Jimmy Yeary,2,FALSE
Abe Stoklasa,2,FALSE
Fred Wilhelm,2,FALSE
Ed Hill,2,FALSE
Emily Shackelton,2,FALSE
James Abrahart,2,FALSE
David Hodges,2,FALSE
Kyle Jacobs,2,FALSE
Hunter Phelps,2,FALSE
Randy Montana,2,FALSE
Sam Ellis,2,FALSE
Heather Morgan,2,FALSE
Jeffrey Steele,2,FALSE
Aaron Scherz,2,FALSE
Whit Sellers,2,FALSE
Meghan Trainor,2,FALSE
Ben Simonetti,2,FALSE
Chris Stevens,2,FALSE
Ed Sheeran,2,FALSE
Morgan Wallen,2,FALSE
Robert Williford,2,FALSE
Preston Brust,2,FALSE
Jameson Rodgers,2,FALSE
Travis Denning,2,FALSE
Michael Hardy,2,FALSE
Geoff Sprung,2,FALSE
John Driskell Hopkins,2,FALSE
Joey Moi,1,FALSE
Matthew Jenkins,1,FALSE
Philip O'donnell,1,FALSE
Tyler Farr,1,FALSE
Jon Jones,1,FALSE
Adam Craig,1,FALSE
David Cook,1,FALSE
Dylan Altman,1,FALSE
Nikki Sixx,1,FALSE
Randy Houser,1,FALSE
Johnny Bulford,1,FALSE
John Hartford,1,FALSE
Jim Collins,1,FALSE
Audra Mae,1,FALSE
Rachel Reinert,1,FALSE
J. T. Harding,1,FALSE
Felix McTeigue,1,FALSE
Matt Thomas,1,FALSE
Danny Myrick,1,FALSE
Kimberly Perry,1,FALSE
Tucker Beathard,1,FALSE
Big Kenny,1,FALSE
Billy Currington,1,FALSE
Wyatt Earp,1,FALSE
Steh Mosley,1,FALSE
Kent Blazy,1,FALSE
Tully Kennedy,1,FALSE
Trent Harmon,1,FALSE
Craig Campbell,1,FALSE
Rebecca Lynn Howard,1,FALSE
Dylan Scott,1,FALSE
Dave Barnes,1,FALSE
Aaron Watson,1,FALSE
Drake White,1,FALSE
Walker Hayes,1,FALSE
Seth Mosley,1,FALSE
Pavel Dovgalyuk,1,FALSE
Steve Mac,1,FALSE
Bleta Rexha,1,FALSE
Lindsay Ell,1,FALSE
Blake Anthony Carter,1,FALSE
Bretty Young,1,FALSE
Ashley McBryde,1,FALSE
Blake Shelton,1,FALSE
Kevin Welch,1,FALSE
Tofer Brown,1,FALSE
Benhamin Burgess,1,FALSE
Ben Burgess,1,FALSE
Alysa Vanderheym,1,FALSE
Cary Ryan Barlowe,1,FALSE
George Strait,1,FALSE
Tenille Townes,1,FALSE
Matt Stell,1,FALSE
Ingrid Andress,1,FALSE
Gabby Barrett,1,FALSE
Craig Michael Wiseman,1,FALSE
Caitlyn Smith,1,FALSE
Bonnie Baker,1,FALSE
James T. Slater,1,FALSE
Heather Lynn Morgan,1,FALSE
Paul Jenkins,1,FALSE
James Young,1,FALSE
Joey Hyde,1,FALSE
Keith Gattis,1,FALSE
Shannon Lawson,1,FALSE
Luke Hutton,1,FALSE
Jimi Westbrook,1,FALSE
Matthew West,1,FALSE
Jay Knowles,1,FALSE
Vince Neil,1,FALSE
Jason Matthews,1,FALSE
Brandon Bush,1,FALSE
Travis Jerome Goff,1,FALSE
Josh Martin,1,FALSE
Bob DiPiero,1,FALSE
Melissa Peirce,1,FALSE
Joe Ginsberg,1,FALSE
Mark Nesler,1,FALSE
Mike Gossin,1,FALSE
Michael White,1,FALSE
Mike Dekle,1,FALSE
Sara Haze,1,FALSE
Michael Ray,1,FALSE
Jeff Bhasker,1,FALSE
Scott Thomas,1,FALSE
Tim Nichols,1,FALSE
Reid Perry,1,FALSE
Steve Moakler,1,FALSE
Barry Bales,1,FALSE
e Justin Wilson,1,FALSE
Dave Kuncio,1,FALSE
Greg Wells,1,FALSE
Nate Cyphert,1,FALSE
Thomas Allen,1,FALSE
James Otto,1,FALSE
Steve Dorff,1,FALSE
Andrew DeRoberts,1,FALSE
Daniel Tashian,1,FALSE
Dave Turnbull,1,FALSE
Caroline Hobby,1,FALSE
Chris Lindsey,1,FALSE
Dave Gibson,1,FALSE
Tim James,1,FALSE
Tommy Lee Hames,1,FALSE
Smith Ahnquist,1,FALSE
Kylie Sackley,1,FALSE
Jack Ingram,1,FALSE
Mike Henderson,1,FALSE
Steven Dale Jones,1,FALSE
Johnny McDaid,1,FALSE
Brad Clawson,1,FALSE
Wynn Varble,1,FALSE
Sammy Mitchell,1,FALSE
David Ray,1,FALSE
Seth Ennis,1,FALSE
J.R. Rotem,1,FALSE
Sean McConnell,1,FALSE
Patrick Monahan,1,FALSE
Nicolette Hayford,1,FALSE
TJ Osborne,1,FALSE
Jeff Middleton,1,FALSE
Ray Wylie Hubbard,1,FALSE
Josh London,1,FALSE
Rob Snyder,1,FALSE
Jacob Davis,1,FALSE
Tony Lane,1,FALSE
Ben Caver,1,FALSE
Greg Kurstin,1,FALSE
Kevin Kadish,1,FALSE
Robert Brock Berryhill,1,FALSE
Christopher Alan Young,1,FALSE
Bubba Strait,1,FALSE
Harold Ryan Tyndell,1,FALSE
Allison Veltz,1,FALSE
Jennifer Denmark,1,FALSE
Brett Tyler,1,FALSE
Shawn Mendes,1,FALSE
Nathan Spicer,1,FALSE
Lonnie Fowler,1,FALSE
Buford Green,1,FALSE
Zachary Kale,1,FALSE
Danny Orton,1,FALSE
Ammar Malik,1,FALSE
Haille Walker,1,FALSE
Jon Ozier,1,FALSE
Jimmy De Martini,1,FALSE
Priscilla Renea,1,FALSE
Phillip Sweet,1,FALSE
Trent Summar,1,FALSE
Chris Wallin,1,FALSE
Nathan Chapman,1,FALSE
Larry McCoy,1,FALSE
Tim Owens,1,FALSE
Brian Davis,1,FALSE
Tiffany Vartanyan,1,FALSE
Al Anderson,1,FALSE
Weston Davis,1,FALSE
Tyler Johnson,1,FALSE
Barry Knox,1,FALSE
Jamie Lynn Spears,1,FALSE
Ryan Griffin,1,FALSE
Neil Perry,1,FALSE
John King,1,FALSE
Jaida Dreyer,1,FALSE
Ronnie Bowman,1,FALSE
Dan Layus,1,FALSE
Dave Pittenger,1,FALSE
Blair Daly,1,FALSE
Marla Cannon-Goodman,1,FALSE
Tim McGraw,1,FALSE
William Wiik Larsen,1,FALSE
Wendell Mobley,1,FALSE
Jay Clementi,1,FALSE
Clint Lagerberg,1,FALSE
Harold Brown,1,FALSE
Victoria Shaw,1,FALSE
Steve Bogard,1,FALSE
Keesy Timmer,1,FALSE
Elisha Hoffman,1,FALSE
Kevin Bard,1,FALSE
Tyler Reeve,1,FALSE
Tebey Ottoh,1,FALSE
Matt Bronleewe,1,FALSE
Kendell Marvel,1,FALSE
Kyle Fishman,1,FALSE
Jordan Walker,1,FALSE
Vicky McGehee,1,FALSE
Austin Smith,1,FALSE
Jon Randall,1,FALSE
Blake Chaffin,1,FALSE
CJ Solar,1,FALSE
Steven Battey,1,FALSE
Julia Michaels,1,FALSE
Jesse Rice,1,FALSE
Will Weatherly,1,FALSE
J.P. Williams,1,FALSE
Channing Wilson,1,FALSE
Jason Gantt,1,FALSE
Ross Ellis Lipsey,1,FALSE
Billy Montana,1,FALSE
Brett McLaughlin,1,FALSE
Mike Walker,1,FALSE
Sarah Aarons,1,FALSE
Corey Justin Crowder,1,FALSE
Dean Dillon,1,FALSE
Neil Thrasher,1,FALSE
Lindy Robbins,1,FALSE
Ash Bowers,1,FALSE
Paul Sikes,1,FALSE
Derrick Southerland,1,FALSE
Justin Bieber,1,FALSE
Drew Parker,1,FALSE
Lendon Bonds,1,FALSE
Katrina Elam,1,FALSE
Lance Carpenter,1,FALSE
Brian Burton,1,FALSE
Phil O'Donnell,1,FALSE
Jason Duke,1,FALSE
Jenna Andrews,1,FALSE
Cale Dodds,1,FALSE
Pete Sallis,1,FALSE
Coy Bowles,1,FALSE
Morris Dickerson,1,FALSE
Kristi Neumann,1,FALSE
Kim Williams,1,FALSE
Jason Sever,1,FALSE
Kyle Schlienger,1,FALSE
Amy Wadge,1,FALSE
Mark Holman,1,FALSE
Samuel Roman,1,FALSE
Hannah Mullholand,1,FALSE
Josh Ryan,1,FALSE
Josh Dunne,1,FALSE
Jon Green,1,FALSE
Andrew Watt,1,FALSE
Jared Mullins,1,FALSE
Thomas Callaway,1,FALSE
Nadir Khayat,1,FALSE
Alex Palmer,1,FALSE
Hannah Mulholland,1,FALSE
Mike Ryan,1,FALSE
John Mellencamp,1,FALSE
Merle Haggard,1,FALSE
Charlie Handsome,1,FALSE
William Bradfore Weatherly,1,FALSE
Jacob Kashar,1,FALSE
Jason Boyd,1,FALSE
Gian Franco Reverberi,1,FALSE
Jakke Erixson,1,FALSE
Gerry Goldstein,1,FALSE
Gian Piero Reverberi,1,FALSE
Karl-Ola Kjellholm,1,FALSE
Leroy Jordan,1,FALSE
Charles Miller,1,FALSE
Lee Osker,1,FALSE
Andreas Schuller,1,FALSE
Howard Scott,1,FALSE
Ricky Reed,1,FALSE
John Ryan,1,FALSE
Keifer Thompson,0,FALSE
Mikkel Eriksen,0,FALSE
Shawna Thompson,0,FALSE
Tor Erik Hemransen,0,FALSE
Westin Davis,0,FALSE
Ross Golan,0,FALSE
Daniel Omelio,0,FALSE
Emile Haynie,0,FALSE
